path,label,generator,family,source_id,media_type,quality,split
data\raw_audio\authentic\1673\1673-143396-0002.wav,0,authentic,authentic,1673,audio,native,train
data\raw_audio\authentic\1673\1673-143396-0003.wav,0,authentic,authentic,1673,audio,native,train
data\raw_audio\authentic\1673\1673-143396-0005.wav,0,authentic,authentic,1673,audio,native,train
data\raw_audio\authentic\1673\1673-143396-0007.wav,0,authentic,authentic,1673,audio,native,train
data\raw_audio\authentic\1673\1673-143396-0010.wav,0,authentic,authentic,1673,audio,native,train
data\raw_audio\authentic\1988\1988-147956-0002.wav,0,authentic,authentic,1988,audio,native,test
data\raw_audio\authentic\1988\1988-147956-0003.wav,0,authentic,authentic,1988,audio,native,test
data\raw_audio\authentic\1988\1988-147956-0004.wav,0,authentic,authentic,1988,audio,native,test
data\raw_audio\authentic\1988\1988-147956-0005.wav,0,authentic,authentic,1988,audio,native,test
data\raw_audio\authentic\1988\1988-147956-0006.wav,0,authentic,authentic,1988,audio,native,test
data\raw_audio\authentic\2035\2035-147960-0000.wav,0,authentic,authentic,2035,audio,native,train
data\raw_audio\authentic\2035\2035-147960-0001.wav,0,authentic,authentic,2035,audio,native,train
data\raw_audio\authentic\2035\2035-147960-0002.wav,0,authentic,authentic,2035,audio,native,train
data\raw_audio\authentic\2035\2035-147960-0003.wav,0,authentic,authentic,2035,audio,native,train
data\raw_audio\authentic\2035\2035-147960-0004.wav,0,authentic,authentic,2035,audio,native,train
data\raw_audio\authentic\2086\2086-149214-0000.wav,0,authentic,authentic,2086,audio,native,val
data\raw_audio\authentic\2086\2086-149214-0001.wav,0,authentic,authentic,2086,audio,native,val
data\raw_audio\authentic\2086\2086-149214-0003.wav,0,authentic,authentic,2086,audio,native,val
data\raw_audio\authentic\2086\2086-149220-0004.wav,0,authentic,authentic,2086,audio,native,val
data\raw_audio\authentic\2086\2086-149220-0005.wav,0,authentic,authentic,2086,audio,native,val
data\raw_audio\authentic\2277\2277-149896-0000.wav,0,authentic,authentic,2277,audio,native,test
data\raw_audio\authentic\2277\2277-149896-0001.wav,0,authentic,authentic,2277,audio,native,test
data\raw_audio\authentic\2277\2277-149896-0002.wav,0,authentic,authentic,2277,audio,native,test
data\raw_audio\authentic\2277\2277-149896-0003.wav,0,authentic,authentic,2277,audio,native,test
